WOT-DATA,2
{{ID}},AnyGun,TopGun
{{EN}},"Contains ""*"" for tanks which have access to a gun with a drum.","Contains ""*"" for tanks whose top gun has a drum."
{{RU}},"Содержит ""*"" для танков, имеющих доступ к пушке с барабаном.","Содержит ""*"" для танков, чья топовая пушка имеет барабан."
china-Ch07_Vickers_MkE_Type_BT26,*,*,#920
czech-Cz02_TVP_T50,*,*,#920
czech-Cz04_T50_51,*,*,#920
czech-Cz08_T_25,*,*,#920
czech-Cz10_LT_vz38,*,*,#920
czech-Cz13_T_27,*,*,#920
czech-Cz14_Skoda_T-56,*,*,#920
czech-Cz16_TNH_T_vz51,*,*,#920
czech-Cz17_Vz_55,*,*,#920
czech-Cz18_TNH_105_1000,*,,#920
france-F01_RenaultFT,*,*,#920
france-F02_D1,*,,#920
france-F08_AMX_50_100,*,*,#920
france-F08_AMX_50_100_IGR,*,*,#920
france-F09_AMX_50_120,*,*,#920
france-F10_AMX_50B,*,*,#920
france-F10_AMX_50B_fallout,*,*,#920
france-F106_Panhard_EBR_75_Mle1954,*,*,#920
france-F114_Projet_4_1,*,*,#920
france-F116_Bat_Chatillon_Bourrasque,*,*,#920
france-F15_AMX_12t,*,*,#920
france-F16_AMX_13_75,*,*,#920
france-F17_AMX_13_90,*,*,#920
france-F17_AMX_13_90_IGR,*,*,#920
france-F18_Bat_Chatillon25t,*,*,#920
france-F18_Bat_Chatillon25t_IGR,*,*,#920
france-F19_Lorraine40t,*,*,#920
france-F30_RenaultFT_AC,*,,#920
france-F36_AMX_AC_Mle1948,*,*,#920
france-F37_AMX50_Foch,*,*,#920
france-F38_Bat_Chatillon155_58,*,*,#920
france-F43_AMC_35_SH,*,*,#920
france-F64_AMX_50Fosh_155,*,*,#920
france-F64_AMX_50Fosh_B,*,*,#920
france-F69_AMX13_57_100,*,*,#920
france-F69_AMX13_57_100_GrandFinal,*,*,#920
france-F75_Char_de_25t,*,*,#920
france-F84_Somua_SM,*,*,#920
france-F85_M4A1_FL10,*,*,#920
france-F87_Batignolles-Chatillon_12t,*,*,#920
france-F88_AMX_13_105,*,*,#920
france-F97_ELC_EVEN_90,*,*,#920
france-F97_ELC_EVEN_90_FL,*,*,#920
germany-G06_PzII,*,*,#920
germany-G06_PzII_bot,*,*,#920
germany-G07_Pz35t,*,*,#920
germany-G08_Pz38t,*,,#920
germany-G10_PzIII_AusfJ,*,,#920
germany-G102_Pz_III,*,,#920
germany-G108_PzKpfwII_AusfD,*,*,#920
germany-G12_Ltraktor,*,*,#920
germany-G151_Pz_Sfl_IC,*,*,#920
germany-G24_VK3002DB_SH,*,,#920
germany-G25_PzII_Luchs,*,*,#920
germany-G26_VK1602,*,,#920
germany-G36_PzII_J,*,*,#920
germany-G52_Pz38_NA,*,,#920
germany-G53_PzI,*,*,#920
germany-G63_PzI_ausf_C,*,*,#920
germany-G82_Pz_II_AusfG,*,*,#920
germany-G98_Waffentrager_E100,*,*,#920
germany-G98_Waffentrager_E100_P,*,*,#920
italy-It05_Carro_L6_40,*,*,#920
italy-It08_Progetto_M40_mod_65,*,*,#920
italy-It08_Progetto_M40_mod_65_bob,*,*,#920
