WOT-BUILTIN,2

# removing bootcamp tanks
china-Ch08_Type97_Chi_Ha_bootcamp,,,,,,del
france-F04_B1_bootcamp,,,,,,del
germany-G03_PzV_Panther_bootcamp,,,,,,del
germany-G08_Pz38t_bootcamp,,,,,,del
germany-G102_Pz_III_bootcamp,,,,,,del
germany-G117_Toldi_III_bootcamp,,,,,,del
germany-G21_PanzerJager_I_bootcamp,,,,,,del
germany-G80_Pz_IV_AusfD_bootcamp,,,,,,del
japan-J04_Ke_Ni_bootcamp,,,,,,del
japan-J22_Type_95_bootcamp,,,,,,del
usa-A03_M3_Stuart_bootcamp,,,,,,del
usa-A22_M5_Stuart_bootcamp,,,,,,del
usa-A25_M2_med_bootcamp,,,,,,del
usa-A36_Sherman_Jumbo_bootcamp,,,,,,del
ussr-R03_BT-7_bootcamp,,,,,,del
ussr-R06_T-28_bootcamp,,,,,,del
ussr-R07_T-34-85_bootcamp,,,,,,del
ussr-R08_BT-2_bootcamp,,,,,,del
ussr-R22_T-46_bootcamp,,,,,,del
ussr-R43_T-70_bootcamp,,,,,,del
ussr-R50_SU76I_bootcamp,,,,,,del
ussr-R86_LTP_bootcamp,,,,,,del


# unique tanks moved to category "special"
china-Ch25_121_mod_1971B,,,,special
germany-G104_Stug_IV,,,,special
germany-G105_T-55_NVA_DDR,,,,special
germany-G92_VK7201,,,,special
usa-A102_T28_concept,,,,special
usa-A106_M48A2_120,,,,special
usa-A81_T95_E2,,,,special
usa-A86_T23E3,,,,special
usa-A92_M60,,,,special
usa-A95_T95_E6,,,,special
ussr-R110_Object_260,,,,special
ussr-R119_Object_777,,,,special
ussr-R120_T22SR_A22,,,,special
ussr-R95_Object_907,,,,special
ussr-R157_Object_279R,,,,special
uk-GB96_Excalibur,,,,special
uk-GB97_Chimera,,,,special

china-Ch40_WZ120G_FT,,,,special


# bots -> normal tanks
china-Ch06_Renault_NC31_bot,,,,normal
france-F01_RenaultFT_bot,,,,normal
germany-G06_PzII_bot,,,,normal
germany-G12_Ltraktor_bot,,,,normal
uk-GB01_Medium_Mark_I_bot,,,,normal
japan-J01_NC27_bot,,,,normal
uk-GB05_Vickers_Medium_Mk_II_bot,,,,normal
usa-A01_T1_Cunningham_bot,,,,normal
usa-A24_T2_med_bot,,,,normal
ussr-R09_T-26_bot,,,,normal
ussr-R11_MS-1_bot,,,,normal


# frontline tanks -> normal
ussr-R20_T-44_FL,,,,normal
usa-A12_T32_FL,,,,normal
france-F10_AMX_50B_fallout,,,,normal
ussr-R45_IS-7_fallout,,,,normal
ussr-R87_T62A_fallout,,,,normal

